id,name,price,stock,available,description,category_id
1,Set di coltelli da cucina KM-635,18.55,5,True,Il Set di coltelli da cucina KM-635 è un prodotto di alta qualità per casa e cucina.,1
2,Macchina da caffè VU-427,17.09,36,True,Il Macchina da caffè VU-427 è un prodotto di alta qualità per casa e cucina.,1
3,Padella antiaderente OJ-827,21.58,87,True,Il Padella antiaderente OJ-827 è un prodotto di alta qualità per casa e cucina.,1
4,Robot da cucina CM-357,66.27,15,True,Il Robot da cucina CM-357 è un prodotto di alta qualità per casa e cucina.,1
5,Set di pentole FZ-771,16.19,68,True,Il Set di pentole FZ-771 è un prodotto di alta qualità per casa e cucina.,1
6,Pentola a pressione WG-641,40.24,3,True,Il Pentola a pressione WG-641 è un prodotto di alta qualità per casa e cucina.,1
7,Frullatore ad immersione TU-823,38.35,73,True,Il Frullatore ad immersione TU-823 è un prodotto di alta qualità per casa e cucina.,1
8,Bilancia da cucina ZM-455,158.46,88,True,Il Bilancia da cucina ZM-455 è un prodotto di alta qualità per casa e cucina.,1
9,Tostapane QK-611,63.36,68,True,Il Tostapane QK-611 è un prodotto di alta qualità per casa e cucina.,1
10,Caraffa termica FA-241,18.57,65,True,Il Caraffa termica FA-241 è un prodotto di alta qualità per casa e cucina.,1
11,Macchina del pane AA-417,17.51,26,True,Il Macchina del pane AA-417 è un prodotto di alta qualità per casa e cucina.,1
12,Tagliere in bamboo JV-354,16.99,77,True,Il Tagliere in bamboo JV-354 è un prodotto di alta qualità per casa e cucina.,1
13,Coltello da pane NZ-383,11.09,58,True,Il Coltello da pane NZ-383 è un prodotto di alta qualità per casa e cucina.,1
14,Cuociriso elettrico XI-245,70.9,7,True,Il Cuociriso elettrico XI-245 è un prodotto di alta qualità per casa e cucina.,1
15,Spremiagrumi NC-206,84.05,13,True,Il Spremiagrumi NC-206 è un prodotto di alta qualità per casa e cucina.,1
16,Orologio da polso FP-639,294.75,83,True,Il Orologio da polso FP-639 è un prodotto di alta qualità per moda e accessori.,2
17,Borsa a tracolla PQ-102,174.52,19,True,Il Borsa a tracolla PQ-102 è un prodotto di alta qualità per moda e accessori.,2
18,Cintura in pelle YV-632,133.96,69,True,Il Cintura in pelle YV-632 è un prodotto di alta qualità per moda e accessori.,2
19,Occhiali da sole MC-318,52.62,87,True,Il Occhiali da sole MC-318 è un prodotto di alta qualità per moda e accessori.,2
20,Portafoglio in pelle XJ-299,159.6,100,True,Il Portafoglio in pelle XJ-299 è un prodotto di alta qualità per moda e accessori.,2
21,Foulard in seta VI-847,150.89,82,True,Il Foulard in seta VI-847 è un prodotto di alta qualità per moda e accessori.,2
