product_id,category_id
1,9
1,2
2,9
2,2
3,9
3,2
4,9
4,2
5,9
5,2
6,9
6,2
7,9
7,2
8,9
8,2
9,9
9,2
10,9
10,2
11,9
11,2
12,9
12,2
13,9
13,2
14,9
14,2
15,9
15,2
16,4
16,6
17,4
17,6
18,4
18,6
19,4
19,6
20,4
20,6
21,4
21,6
22,4
22,6
23,4
23,6
24,4
24,6
25,4
25,6
26,4
26,6
27,4
27,6
28,4
28,6
29,4
29,6
30,4
30,6
31,8
31,10
32,8
32,10
33,8
33,10
34,8
34,10
35,8
35,10
36,8
36,10
37,8
37,10
38,8
38,10
39,8
39,10
40,8
40,10
41,8
41,10
42,8
42,10
43,8
43,10
44,8
44,10
45,8
45,10
46,2
46,6
47,2
47,6
48,2
48,6
49,2
49,6
50,2
50,6
51,2
51,6
52,2
52,6
53,2
53,6
54,2
54,6
55,2
55,6
56,2
56,6
57,2
57,6
58,2
58,6
59,2
59,6
60,2
60,6
61,9
61,10
62,9
62,10
63,9
63,10
64,9
64,10
65,9
65,10
66,9
66,10
67,9
67,10
68,9
68,10
69,9
69,10
70,9
70,10
71,9
71,10
72,9
72,10
73,9
73,10
74,9
74,10
75,9
75,10
76,2
76,4
77,2
77,4
78,2
78,4
79,2
79,4
80,2
80,4
